5	1	1
5	2	2
5	3	3
5	4	4
5	5	4
5	6	3
5	7	2
5	8	1
5	9	1
7	10	2
7	11	3
7	12	4
7	13	4
7	14	3
7	15	2
7	16	1
7	17	1
7	18	2
7	19	3
7	20	4
8	20.5	4
8	21	3
8	21.5	2
8	22	1
8	22.5	1
8	23	2
8	23.5	3
8	24	4
8	24.5	4
8	25	3
8	25.5	2
8	26	1
8	26.5	1
8	27	2
8	27.5	3
8	28	4
8	28.5	4
8	29	3
8	29.5	2
8	30	1
4	30.25	1
4	30.5	1
4	30.75	2
4	31	2
4	31.25	3
4	31.5	3
4	31.75	4
4	32	4
4	32.25	4
4	32.5	4
4	32.75	3
4	33	3
4	33.25	2
4	33.5	2
4	33.75	1
4	34	1
4	34.25	1
4	34.5	1
4	34.75	2
4	35	2
8	35.25	3
8	35.5	3
8	35.75	4
8	36	4
8	36.25	4
8	36.5	4
8	36.75	3
8	37	3
8	37.25	2
8	37.5	2
8	37.75	1
8	38	1
8	38.25	3
8	38.5	2
8	38.75	2
8	39	3
8	39.25	3
8	39.5	2
8	39.75	1
20	40	4
20	42	1
20	44	1
20	46	1
20	48	3
20	50	3
20	52	3
20	54	2
20	56	2
20	58	4
20	60	4
