2	2	2	1
2	3	2	1
2	4	2	1
2	5	2	3
2	6	2	3
2	7	2	3
2	8	2	1
2	9	2	1
2	10	2	1
2	11	2	3
2	12	2	3
2	13	2	3
6	14	2	2
6	15	2	2
6	16	2	2
6	17	2	4
6	18	2	4
6	19	2	4
2	61	2	1
2	62	2	1
2	63	2	1
2	64	2	3
2	65	2	3
2	66	2	3
2	67	2	2
2	68	2	2
2	69	2	2
2	70	2	4
2	71	2	4
2	72	2	4
2	73	2	1
2	74	2	1
2	75	2	1
2	76	2	3
2	77	2	3
2	78	2	3
2	79	2	2
2	80	2	2
2	81	2	2
2	82	2	4
2	83	2	4
2	84	2	4
6	100	2	3
6	101	2	3
6	102	2	3
6	103	2	1
6	104	2	1
6	105	2	1
6	106	2	4
6	107	2	4
6	108	2	4
6	109	2	2
6	110	2	2
6	111	2	2
6	112	2	3
6	113	2	3
6	114	2	3
6	115	2	1
6	116	2	1
6	117	2	1
6	118	2	4
6	119	2	4
6	120	2	4
6	121	2	2
6	122	2	2
6	123	2	2
6	124	2	3
6	125	2	3
6	126	2	3
6	127	2	1
6	128	2	1
6	129	2	1
6	130	2	4
6	131	2	4
6	132	2	4
6	133	2	2
6	134	2	2
6	135	2	2
10	136	2	3
10	137	2	1
10	138	2	4
10	139	2	2
2	160	2	1
2	161	2	1
2	162	2	1
2	163	2	3
2	164	2	3
2	165	2	3
2	166	2	2
2	167	2	2
2	168	2	2
2	169	2	4
2	170	2	4
2	171	2	4
10	172	2	1
10	173	2	3
10	174	2	2
10	175	2	4
10	176	2	1
10	177	2	3
10	178	2	2
10	179	2	4
