1	1	1	3	0	0	-1	3	16	9	23	29	30	39	40	49	50	1
1	2	1	3	0	0	1	0	19	20	39	40	50	50	50	50	50	1
1	3	1	3	0	0	2	9	10	29	30	49	50	50	50	50	50	1
2	6	1	3	0	0	-2	25	50	50	50	50	50	50	50	50	50	1
2	7	1	3	0	0	3	9	40	50	50	50	50	50	50	50	50	1
2	8	1	3	0	0	-3	3	16	9	23	29	30	39	40	49	50	1
3	11	1	3	0	0	4	0	19	20	39	40	50	50	50	50	50	1
3	12	1	3	0	0	-4	9	10	29	30	49	50	50	50	50	50	1
4	15	1	3	0	0	5	25	50	50	50	50	50	50	50	50	50	1
4	16	1	3	0	0	-5	9	40	50	50	50	50	50	50	50	50	1
5	19	1	3	0	0	6	3	16	9	23	29	30	39	40	49	50	1
5	20	1	3	0	0	-6	0	19	20	39	40	50	50	50	50	50	1
6	23	1	2	0	0	7	9	10	29	30	49	50	50	50	50	50	1
6	24	1	2	0	0	-7	25	50	50	50	50	50	50	50	50	50	1
7	27	1	2	0	0	8	9	40	50	50	50	50	50	50	50	50	1
7	28	1	2	0	0	-8	3	16	9	23	29	30	39	40	49	50	1
8	31	1	2	0	0	9	0	19	20	39	40	50	50	50	50	50	1
8	32	1	2	0	0	-9	9	10	29	30	49	50	50	50	50	50	1
9	35	1	1	0	0	0	25	50	50	50	50	50	50	50	50	50	1
9	36	1	1	0	0	0	9	40	50	50	50	50	50	50	50	50	1
10	39	1	1	0	0	0	3	16	9	23	29	30	39	40	49	50	1
10	40	1	1	0	0	0	0	19	20	39	40	50	50	50	50	50	1
